Aluno,Lab,Exercicio,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,N_Dias,PP_Paste,PP_Delete,Linhas_Log,Nota
1173,409,994,18,1,1,0,0,1,0.0,0.4,15,0.0
1173,454,587,421,5,0,0,0,1,0.0,0.0,7,0.0
1173,454,835,699,16,5,14,0,1,0.0,0.34,516,0.0
1173,468,1366,2842,6,5,19,0,1,0.0,0.31,744,0.0
1173,468,1833,2401,7,5,34,0,1,0.0,0.2,1354,0.0
1173,495,1053,1237,13,6,26,4,1,0.0,0.28,942,0.0
1173,495,1054,1343,12,7,17,2,1,0.0,0.24,1094,0.0
1173,495,602,1050,15,6,26,1,1,0.0,0.19,535,0.0
1173,518,1402,2750,5,3,42,0,1,0.0,0.22,1613,0.0
1173,518,1942,1508,12,11,6,1,1,0.0,0.14,706,0.0
1173,546,1079,23,28,15,3,1,1,0.09,0.18,11,0.0
1173,546,1099,21,23,20,3,1,1,0.07,0.14,14,0.0
1173,546,1100,22,21,17,3,1,1,0.07,0.14,14,0.0
1173,546,1101,19,30,20,2,1,1,0.08,0.17,12,0.0
1173,546,1102,47,31,25,3,1,1,0.1,0.2,10,0.0
1173,546,1103,22,16,10,3,1,1,0.08,0.15,13,0.0
1173,546,1104,17,20,12,3,1,1,0.11,0.22,9,0.0
1173,546,1105,21,51,23,3,1,1,0.08,0.17,12,0.0
1173,546,1107,21,39,36,2,1,1,0.06,0.12,17,0.0
1173,559,1995,2830,16,10,72,5,1,0.02,0.23,2437,0.0
1305,546,1102,336,40,35,6,2,1,0.01,0.03,147,0.0
1310,682,2135,803,17,17,5,1,1,0.01,0.26,520,0.0
1310,682,2136,2691,17,17,19,2,1,0.0,0.24,820,0.0
1310,682,2137,581,7,5,12,2,1,0.0,0.24,356,0.0
1310,682,2138,400,4,4,11,1,1,0.01,0.27,495,0.0
1310,682,2139,609,15,15,9,1,1,0.0,0.28,684,0.0
1688,454,587,1552,9,5,11,5,1,0.0,0.28,550,0.0
1688,454,820,579,25,9,4,3,1,0.0,0.27,88,0.0
1688,454,835,1017,17,6,3,1,1,0.0,0.39,236,0.0
1984,409,1332,716,3,3,5,1,1,0.0,0.29,185,0.0
1984,409,994,171,2,1,3,1,1,0.0,0.19,148,0.0
1984,409,996,444,5,5,3,0,1,0.01,0.27,512,0.0
1984,454,835,126,17,6,0,0,1,0.0,0.47,40,0.0
2101,409,1326,53,2,2,2,1,1,0.0,0.16,50,0.0
2101,409,1327,23,2,2,1,1,1,0.0,0.0,34,0.0
2101,409,1328,26,2,2,1,1,1,0.0,0.1,39,0.0
2101,409,1329,39,2,2,2,1,1,0.0,0.06,35,0.0
2101,409,1330,83,4,3,2,1,1,0.04,0.06,70,0.0
2101,409,1331,430,4,4,3,1,1,0.0,0.09,116,0.0
2101,409,1332,821,5,4,2,1,1,0.11,0.0,19,0.0
2101,409,1333,16,2,2,1,1,1,0.09,0.18,11,0.0
2101,409,1334,84,11,6,2,1,1,0.0,0.42,86,0.0
2101,409,1559,61,2,2,3,1,1,0.01,0.1,98,0.0
2101,409,1560,37,2,2,2,1,1,0.03,0.26,39,0.0
2101,409,579,127,1,1,2,1,1,0.03,0.41,29,0.0
2101,409,994,7,1,1,1,1,1,0.12,0.0,8,0.0
2101,409,996,151,5,5,4,2,1,0.09,0.26,77,0.0
2101,429,1800,286,10,6,6,1,1,0.01,0.14,301,0.0
2101,429,1801,1624,4,3,13,2,1,0.0,0.23,426,0.0
2101,429,1802,1255,12,7,14,1,1,0.01,0.25,642,0.0
2101,429,1803,2110,31,11,4,1,1,0.0,0.51,479,0.0
2101,429,1804,906,13,9,14,3,1,0.02,0.15,454,0.0
2101,429,1805,693,11,8,4,1,1,0.01,0.07,193,0.0
2101,429,1806,707,9,5,10,1,1,0.0,0.12,661,0.0
2101,454,1014,1220,15,4,15,14,1,0.0,0.22,600,0.0
2101,454,1015,623,17,8,5,2,1,0.02,0.09,429,0.0
2101,454,1016,1836,20,7,16,2,1,0.01,0.22,582,0.0
2101,454,1017,2687,31,13,7,4,1,0.01,0.26,1348,0.0
2101,454,1570,447,3,2,3,1,1,0.0,0.08,79,0.0
2101,454,1571,33,2,2,3,1,1,0.05,0.3,20,0.0
2101,454,587,663,18,6,6,2,1,0.01,0.23,477,0.0
2101,454,588,574,27,9,4,1,1,0.01,0.37,298,0.0
2101,454,820,425393,25,9,12,2,5,0.0,0.28,298,0.0
2101,454,825,927,20,7,10,3,1,0.0,0.27,591,0.0
2101,454,835,1289,19,7,9,2,1,0.0,0.14,229,0.0
2101,454,842,352501,40,10,6,1,4,0.0,0.27,1001,0.0
2101,468,1371,803,9,7,7,1,1,0.01,0.28,631,0.0
2101,468,1835,217,8,5,5,1,1,0.0,0.16,221,0.0
2101,477,1852,93,16,12,6,2,1,0.27,0.0,15,0.0
2101,477,1853,52,10,8,3,1,1,0.2,0.0,10,0.0
2101,477,1854,3186126,18,13,10,3,37,0.02,0.28,379,0.0
2101,477,1855,592421,11,8,7,1,7,0.0,0.22,663,0.0
2101,477,1856,22,1,1,0,0,1,0.0,0.0,17,0.0
2101,495,1053,296,12,6,4,3,1,0.02,0.25,252,0.0
2101,495,1054,280,14,7,3,1,1,0.05,0.2,166,0.0
2101,495,1055,715,17,10,6,1,1,0.0,0.23,667,0.0
2101,495,1056,1558,16,10,21,5,1,0.01,0.35,1182,0.0
2101,495,1385,770,20,12,8,3,1,0.02,0.2,496,0.0
2101,495,1386,464,14,8,9,5,1,0.01,0.19,457,0.0
2101,495,602,858,14,6,3,1,1,0.02,0.05,84,0.0
2101,495,867,304,23,12,2,1,1,0.01,0.4,294,0.0
2101,495,869,641,15,7,6,1,1,0.01,0.29,632,0.0
2101,509,1948,5,1,0,0,0,1,0.0,0.67,12,0.0
2101,518,1403,550,10,8,17,4,1,0.0,0.17,484,0.0
2101,518,1943,867,16,12,6,1,1,0.03,0.19,614,0.0
2101,546,1079,4767,26,15,5,1,1,0.0,0.28,348,0.0
2101,546,1099,2328,21,13,37,19,1,0.01,0.33,1111,0.0
2101,546,1100,1449,23,16,46,13,1,0.01,0.32,1049,0.0
2101,546,1101,2972,34,23,41,9,1,0.02,0.33,1792,0.0
2101,546,1102,1788,19,11,10,8,1,0.0,0.11,1313,0.0
2101,546,1103,104447,16,9,29,12,1,0.01,0.15,958,0.0
2101,546,1104,107379,18,12,16,10,1,0.01,0.22,947,0.0
2101,546,1105,3950,31,23,17,10,1,0.02,0.24,1785,0.0
2101,546,1107,601410,117,111,19,13,7,0.01,0.38,3539,0.0
2101,559,1982,2265,18,13,12,3,1,0.0,0.31,1438,0.0
2101,559,1989,886,20,17,11,2,1,0.03,0.17,662,0.0
2101,584,1132,869,20,8,4,1,1,0.0,0.65,130,0.0
2101,584,1133,892,10,6,17,2,1,0.02,0.43,514,0.0
2101,584,1134,5452,10,8,21,9,1,0.03,0.25,364,0.0
2101,584,1135,6231,23,10,22,4,1,0.0,0.42,582,0.0
2101,584,1136,3235,19,12,28,7,1,0.02,0.3,1031,0.0
2101,584,1137,1334,15,9,6,1,1,0.0,0.2,389,0.0
2101,584,1138,2275,19,14,11,1,1,0.0,0.21,695,0.0
2101,584,1139,594152,11,11,4,3,7,0.0,0.3,251,0.0
2101,584,1140,166,10,9,6,0,1,0.0,0.17,127,0.0
2101,584,1141,83,10,10,3,1,1,0.11,0.0,9,0.0
2101,584,1142,10,9,9,4,1,1,0.04,0.67,27,0.0
2101,584,1562,55,16,13,4,2,1,0.08,0.0,24,0.0
2101,611,1539,2413,12,11,13,2,1,0.0,0.19,570,0.0
2101,611,2036,1127,10,7,23,1,1,0.02,0.3,653,0.0
2101,632,1183,5,13,13,3,1,1,0.2,0.0,10,0.0
2101,632,1185,6,11,11,3,1,1,0.2,0.0,10,0.0
2101,632,1187,172763,18,9,8,1,2,0.01,0.18,375,0.0
2101,632,1189,4,11,10,3,1,1,0.17,0.0,6,0.0
2101,632,1576,1924,29,20,10,1,1,0.01,0.14,1170,0.0
2101,632,1577,2635,17,11,4,1,1,0.0,0.26,516,0.0
2101,632,1580,11,26,22,3,1,1,0.18,0.0,11,0.0
2101,632,1583,652,11,9,3,1,1,0.04,0.34,47,0.0
2101,632,672,464,8,4,6,2,1,0.01,0.27,309,0.0
2101,632,674,3160,28,10,6,1,1,0.01,0.23,714,0.0
2101,632,762,646,10,9,3,1,1,0.03,0.64,72,0.0
2101,663,1614,1733,27,23,17,3,1,0.01,0.21,1239,0.0
2101,663,2129,338,10,8,4,2,1,0.01,0.14,328,0.0
2101,683,1218,465,27,11,4,1,1,0.0,0.26,115,0.0
2101,683,1219,94115,10,9,10,2,1,0.01,0.42,330,0.0
2101,683,1220,94391,21,18,7,2,1,0.0,0.26,385,0.0
2101,683,1221,278,23,20,4,1,1,0.0,0.21,289,0.0
2101,683,1222,481,21,19,3,1,1,0.0,0.66,452,0.0
2101,683,1223,807,14,9,3,1,1,0.0,0.58,205,0.0
2101,683,1224,125,4,3,3,1,1,0.02,0.51,47,0.0
2101,683,1225,902,14,12,3,1,1,0.01,0.6,120,0.0
2101,683,1226,940,9,7,3,1,1,0.01,0.59,81,0.0
2101,683,1227,24,6,4,3,1,1,0.03,0.55,38,0.0
2101,729,1271,1734,32,20,11,1,1,0.0,0.16,928,0.0
2101,729,1272,2715,32,20,14,1,1,0.02,0.37,1051,0.0
2101,729,1273,1989,22,12,10,1,1,0.0,0.27,537,0.0
2101,729,1274,3500,27,17,39,1,1,0.01,0.25,1922,0.0
2101,729,1275,510408,21,13,14,1,6,0.02,0.43,970,0.0
2101,729,1276,2185,26,17,34,5,1,0.0,0.16,1733,0.0
2101,729,1277,1346,27,19,11,1,1,0.01,0.21,1107,0.0
2101,729,1278,536721,23,22,3,1,6,0.01,0.15,687,0.0
2101,729,1279,31,52,25,3,1,1,0.14,0.0,14,0.0
2101,729,1280,98,39,36,3,1,1,0.09,0.0,22,0.0
2101,744,1290,1644,25,15,19,3,1,0.01,0.33,893,0.0
2101,744,2180,4115,23,12,33,5,1,0.0,0.35,1320,0.0
2102,409,1326,138,1,1,6,4,1,0.0,0.48,101,0.0
2102,409,1327,127,1,1,2,1,1,0.0,0.09,22,0.0
2102,409,1328,618475,1,1,3,1,7,0.0,0.0,19,0.0
2102,409,1329,618422,1,1,3,1,7,0.0,0.27,30,0.0
2102,409,1330,618374,1,1,25,14,7,0.0,0.23,162,0.0
2102,409,1331,101,2,2,2,1,1,0.0,0.06,33,0.0
2102,409,1332,617833,3,3,6,3,7,0.0,0.26,261,0.0
2102,409,1333,104,2,2,2,1,1,0.0,0.0,23,0.0
2102,409,1334,288,11,6,3,1,1,0.0,0.39,107,0.0
2102,409,1559,963,2,2,24,4,1,0.0,0.22,895,0.0
2102,409,1560,485,2,2,7,3,1,0.0,0.05,459,0.0
2102,409,579,324,1,1,13,11,1,0.01,0.22,202,0.0
2102,409,994,175,1,1,2,1,1,0.0,0.55,250,0.0
2102,409,996,552,5,5,15,5,1,0.0,0.21,429,0.0
2102,429,1800,900047,7,5,31,4,10,0.0,0.21,860,0.0
2102,429,1801,899997,12,2,3,0,10,0.0,0.26,357,0.0
2102,429,1802,869,11,8,31,6,1,0.0,0.13,625,0.0
2102,454,1014,237471,7,3,29,8,3,0.0,0.34,706,0.0
2102,454,1015,687,11,6,8,3,1,0.0,0.28,483,0.0
2102,454,1016,172975,13,7,71,6,2,0.01,0.21,1690,0.0
2102,454,1017,183286,25,15,10,1,2,0.0,0.25,1798,0.0
2102,454,1570,740,2,2,44,13,1,0.0,0.23,855,0.0
2102,454,1571,991,2,2,7,2,1,0.0,0.34,87,0.0
2102,454,587,94617,13,4,113,16,1,0.0,0.26,4575,0.0
2102,454,588,411575,21,9,17,1,5,0.0,0.26,1000,0.0
2102,454,820,1796956,25,9,72,5,21,0.0,0.26,2786,0.0
2102,454,825,168077,11,6,86,6,2,0.0,0.24,2611,0.0
2102,454,835,264702,17,6,12,3,3,0.0,0.38,325,0.0
2102,454,842,326927,23,8,13,2,4,0.0,0.28,1078,0.0
2102,468,1366,1285,9,7,16,7,1,0.0,0.32,711,0.0
2102,468,1839,1028,11,7,7,1,1,0.0,0.15,367,0.0
2102,477,1852,905,17,14,15,4,1,0.03,0.07,59,0.0
2102,477,1853,75850,9,8,8,2,1,0.17,0.0,12,0.0
2102,477,1854,427783,10,9,46,15,5,0.0,0.27,2640,0.0
2102,477,1855,170713,10,9,52,8,2,0.0,0.31,911,0.0
2102,477,1856,4574,9,7,31,7,1,0.0,0.3,772,0.0
2102,477,1857,166936,10,8,16,3,2,0.0,0.27,543,0.0
2102,495,1053,1793,12,7,52,9,1,0.0,0.3,981,0.0
2102,495,1054,1241,11,8,3,1,1,0.0,0.19,385,0.0
2102,495,1055,169905,21,13,32,14,2,0.0,0.19,965,0.0
2102,495,1056,259073,17,11,12,2,3,0.0,0.13,595,0.0
2102,495,1385,260798,20,14,21,9,3,0.0,0.15,780,0.0
2102,495,1386,3479,14,8,28,4,1,0.0,0.27,1453,0.0
2102,495,602,152,13,6,8,2,1,0.0,0.14,79,0.0
2102,495,867,1642,19,13,49,20,1,0.0,0.36,1797,0.0
2102,495,869,772,11,6,7,1,1,0.0,0.27,615,0.0
2102,509,1932,157,19,16,3,1,1,0.22,0.0,9,0.0
2102,509,1949,27,20,14,3,1,1,0.2,0.0,10,0.0
2102,509,1950,272,12,9,17,12,1,0.02,0.38,194,0.0
2102,509,1951,20,17,13,3,1,1,0.2,0.0,10,0.0
2102,518,1404,1708,13,10,15,3,1,0.0,0.27,465,0.0
2102,518,1937,924,14,11,20,3,1,0.0,0.33,933,0.0
2102,546,1079,775364,26,15,16,5,9,0.0,0.5,271,0.0
2102,546,1099,775016,21,12,82,14,9,0.0,0.22,1749,0.0
2102,546,1100,773266,32,22,35,7,9,0.01,0.32,1577,0.0
2102,546,1101,172518,24,21,34,3,2,0.0,0.23,3765,0.0
2102,546,1102,3474,27,25,28,15,1,0.01,0.18,694,0.0
2102,546,1103,711,13,9,18,2,1,0.0,0.18,654,0.0
2102,546,1104,2,18,12,3,1,1,0.17,0.0,6,0.0
2102,546,1105,35,35,31,6,2,1,0.2,0.0,10,0.0
2102,546,1107,597459,117,111,6,3,7,0.02,0.26,552,0.0
2102,559,1986,1718,13,12,60,11,1,0.0,0.33,2922,0.0
2102,559,1996,2443,12,10,42,9,1,0.01,0.15,1435,0.0
2102,584,1132,292,20,8,12,3,1,0.0,0.52,217,0.0
2102,584,1133,1041,11,6,11,12,1,0.0,0.36,1050,0.0
2102,584,1134,635,13,8,36,13,1,0.0,0.23,694,0.0
2102,584,1135,1112,22,10,122,41,1,0.0,0.2,640,0.0
2102,584,1136,1469,15,10,12,6,1,0.0,0.31,884,0.0
2102,584,1137,1197,11,9,30,10,1,0.0,0.39,1024,0.0
2102,584,1138,426762,13,11,3,1,5,0.0,0.31,506,0.0
2102,584,1139,1952,11,11,11,3,1,0.0,0.2,345,0.0
2102,584,1140,170361,12,11,3,1,2,0.01,0.11,71,0.0
2102,584,1141,5,10,10,3,1,1,0.2,0.0,10,0.0
2102,584,1142,419,11,10,3,1,1,0.18,0.0,11,0.0
