Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
1085,437,3373,37,23,19,10,0.04,0.5,745,0.0
1085,457,68,3,3,1,0,0.02,0.04,81,0.0
1098,407,1318194,43,36,74,29,0.31000000000000005,1.48,1155,0.0
1098,455,933350,167,80,66,26,0.23,1.5200000000000002,2265,0.0
1098,456,25947,72,47,89,12,0.06,0.9500000000000001,1697,0.0
1098,474,1539,20,14,20,4,0.01,0.21000000000000002,637,0.0
1098,493,1995741,131,77,129,35,0.26,1.06,3373,0.0
1098,494,94,95,75,19,9,0.9500000000000001,0.24,98,0.0
1098,523,6163,31,22,25,3,0.01,0.31,1300,0.0
1098,533,127,129,102,18,7,0.8500000000000001,0.25,67,0.0
1098,534,908924,219,168,92,21,1.5,0.77,1333,0.0
1098,569,4412,34,29,51,12,0.02,0.39,1966,0.0
1098,587,1070301,186,122,113,26,1.3,1.96,2582,0.0
1098,621,3482,25,11,31,1,0.01,0.22,1231,0.0
1098,630,752591,169,151,51,15,1.68,0.6699999999999999,553,0.0
1098,659,2615,75,56,42,9,0.32999999999999996,0.87,1000,0.0
1098,671,4321,23,17,33,2,0.01,0.74,1751,0.0
1098,693,977987,172,117,57,11,1.5699999999999998,0.6699999999999999,440,0.0
1098,694,193,74,53,20,8,0.75,0.31000000000000005,75,0.0
1098,721,3223,19,12,10,0,0.03,0.47,826,0.0
1098,737,18984,226,147,31,13,1.04,1.83,1721,0.0
1098,750,2176,29,26,24,4,0.03,0.82,687,0.0
1099,407,261908,49,38,73,22,0.4,2.18,1558,0.0
1099,455,344693,194,79,167,20,0.21000000000000002,2.86,5243,0.0
1099,456,575401,80,47,30,8,0.26,1.14,1111,0.0
1099,474,2385,30,17,34,5,0.0,0.44,1399,0.0
1099,493,875691,147,81,342,81,0.03,1.8000000000000003,10175,0.0
1099,494,633976,103,75,157,18,0.04,1.24,4931,0.0
1099,523,5572,39,18,65,6,0.0,0.54,2742,0.0
1099,533,1104943,131,99,37,7,0.34,1.17,1990,0.0
1099,534,1001086,214,165,402,76,0.66,0.74,7362,0.0
1099,569,5216,36,30,108,20,0.01,0.42000000000000004,2700,0.0
1099,587,1696464,182,120,191,17,0.29000000000000004,3.15,7426,0.0
1099,589,416,2,1,0,0,0.0,0.17,59,0.0
1099,621,3543,15,12,33,4,0.0,0.26,615,0.0
1099,630,2074923,168,151,128,20,0.52,2.0,3589,0.0
1099,671,2978,34,30,52,3,0.02,0.54,1763,0.0
1099,693,1112893,164,117,188,20,0.05,4.67,4399,0.0
1099,694,540,66,53,14,5,0.5800000000000001,0.74,138,0.0
1099,721,6467,34,23,29,0,0.0,0.41000000000000003,1281,0.0
1099,737,120575,228,152,104,19,0.31,2.19,3570,0.0
1099,748,68070,39,33,118,7,0.01,0.6799999999999999,2189,0.0
1099,750,2583,30,26,34,6,0.01,0.55,996,0.0
1101,399,4080,62,48,78,27,0.0,2.9300000000000006,2880,0.0
1101,442,92578,226,81,101,25,0.0,2.26,7285,0.0
1101,450,172778,140,53,91,9,0.0,0.9099999999999999,4897,0.0
1101,478,1700,52,13,29,4,0.0,0.44,1314,0.0
1101,485,605401,174,81,89,16,0.01,1.53,5485,0.0
1101,486,1746,35,29,65,21,0.03,0.5700000000000001,1426,0.0
1101,540,2704,44,26,17,2,0.0,0.45,1800,0.0
1101,557,326,26,15,0,0,0.0,0.75,40,0.0
1101,600,250805,59,28,46,2,0.0,1.2599999999999998,4762,0.0
1101,622,2906,20,11,82,15,0.0,0.25,2524,0.0
1114,399,3601,54,48,40,16,0.21999999999999997,1.85,1110,0.0
1114,442,7530,112,76,61,24,0.02,1.9800000000000004,3470,0.0
1114,450,1097,10,10,7,1,0.01,0.31,489,0.0
1114,478,634,14,13,14,4,0.01,0.19,756,0.0
1114,485,7111,110,78,104,33,0.05,1.7999999999999998,3581,0.0
1114,540,2513,27,26,35,11,0.02,0.36,1025,0.0
1114,557,6922,37,28,28,1,0.07,1.6400000000000001,5549,0.0
1173,409,18,1,1,0,0,0.0,0.4,15,0.0
1173,454,1120,21,5,14,0,0.0,0.34,523,0.0
1173,468,5243,13,10,53,0,0.0,0.51,2098,0.0
1173,495,3630,40,19,69,7,0.0,0.71,2571,0.0
1173,518,4258,17,14,48,1,0.0,0.36,2319,0.0
1173,546,213,259,178,25,9,0.74,1.4900000000000002,112,0.0
1173,559,2830,16,10,72,5,0.02,0.23,2437,0.0
1191,407,712040,51,45,39,22,0.43000000000000005,1.6500000000000004,1121,0.0
1191,455,433285,177,78,46,24,0.45,2.08,1081,0.0
1191,456,1445,68,45,104,28,0.06,1.22,1419,0.0
1191,474,2801,17,11,19,2,0.0,0.33999999999999997,515,0.0
1191,493,6820,124,78,137,35,0.14,2.7600000000000002,2604,0.0
1191,494,12410,91,75,150,28,0.04,1.22,3299,0.0
1191,523,4309,22,17,45,5,0.0,0.62,1544,0.0
1191,533,667153,132,102,102,15,0.78,0.5,2188,0.0
1191,534,69683,218,168,44,18,1.3599999999999999,0.96,874,0.0
1191,569,6333,41,34,23,3,0.0,0.51,2229,0.0
1191,587,1584,193,120,63,22,1.4400000000000002,1.44,456,0.0
1191,589,10333,66,48,95,18,0.02,1.22,2102,0.0
1191,621,3429,23,18,56,11,0.01,0.75,969,0.0
1191,630,100361,169,151,292,74,0.29000000000000004,2.12,5106,0.0
1191,659,43,75,56,16,5,0.97,0.0,52,0.0
1191,671,2598,32,24,10,1,0.02,0.31,718,0.0
1191,693,1533278,172,120,64,12,1.63,0.66,1149,0.0
1191,694,2047,73,54,14,8,0.8400000000000001,0.11,69,0.0
1191,721,2281,9,8,19,3,0.0,0.13,545,0.0
1191,737,221,217,147,27,11,1.72,0.24,149,0.0
1191,748,25,39,33,3,3,0.51,0.0,24,0.0
1191,750,5886,34,30,26,1,0.0,0.53,915,0.0
1197,410,177222,34,29,86,84,0.36,3.5599999999999996,2796,0.0
1197,437,1298602,149,75,72,16,1.22,1.3399999999999999,2361,0.0
1197,466,10618,6,5,8,1,0.0,0.59,579,0.0
1197,480,3934,12,12,68,8,0.0,0.5,2703,0.0
1197,501,612482,117,81,119,17,0.03,2.19,6652,0.0
1197,502,132,29,28,6,2,0.26,0.13,250,0.0
1197,529,6274,14,14,52,4,0.0,0.53,2873,0.0
1197,547,611064,209,171,32,13,0.33999999999999997,1.42,2632,0.0
1197,574,4335,30,29,43,5,0.0,0.52,2395,0.0
1197,638,3956,74,66,19,7,0.05,1.5499999999999998,1967,0.0
1197,690,432842,165,110,103,33,0.15000000000000002,1.79,3535,0.0
1197,717,2596,10,8,1,0,0.0,0.66,856,0.0
1197,781,5209,25,21,13,2,0.0,0.52,2091,0.0
1206,407,4906,63,45,49,26,0.13,3.129999999999999,2225,0.0
1206,455,1824153,82,41,74,43,0.0,1.67,4749,0.0
1206,456,354,11,8,4,1,0.02,0.42000000000000004,556,0.0
1206,474,4088,19,14,65,6,0.0,0.63,2603,0.0
1206,493,786026,125,77,167,54,0.01,2.06,8344,0.0
1206,494,3902,58,51,41,17,0.23,0.58,1766,0.0
1206,523,3275,29,22,155,48,0.01,0.42000000000000004,3433,0.0
1206,534,39939,95,77,171,46,0.0,0.8300000000000001,7833,0.0
1206,569,4934,43,31,139,35,0.0,0.42,4505,0.0
1206,587,32886,61,41,125,16,0.01,1.28,5313,0.0
1206,621,2390,9,7,45,2,0.01,0.29,2742,0.0
1206,630,6280,39,30,15,7,0.0,0.7200000000000001,1727,0.0
1206,693,887,14,11,12,2,0.0,0.33,997,0.0
1228,411,1425,35,29,40,20,0.0,2.42,844,0.0
1228,433,2196,40,40,39,11,0.03,1.3,1434,0.0
1228,438,1512263,139,74,78,23,1.3200000000000003,1.3599999999999999,3395,0.0
1228,476,6073,25,11,93,14,0.01,0.55,1993,0.0
1228,481,435370,117,78,140,39,0.41000000000000003,1.72,2118,0.0
1228,483,99,100,73,20,6,1.1700000000000002,0.0,45,0.0
1228,522,3254,18,11,18,1,0.01,0.5599999999999999,1400,0.0
1228,531,2032,232,179,384,98,1.21,1.7599999999999998,1499,0.0
1228,562,2191,21,18,47,12,0.02,0.35,1300,0.0
1228,585,3968637,152,102,49,41,1.0899999999999999,1.81,1775,0.0
1228,634,100,176,140,32,12,1.92,0.2,92,0.0
1228,673,5651,13,11,39,6,0.02,0.69,2084,0.0
1228,681,1996415,148,96,51,35,0.5900000000000001,0.59,1963,0.0
1228,688,261,149,96,30,11,1.8599999999999999,0.19,118,0.0
1228,720,13439,36,26,80,2,0.01,1.1,3636,0.0
1228,725,841,215,148,27,11,1.51,0.35000000000000003,192,0.0
1228,749,6367,46,36,24,6,0.0,0.66,1784,0.0
1235,410,2693947,35,29,27,21,1.03,0.6799999999999999,392,0.0
1235,437,705607,152,73,46,51,0.25000000000000006,1.84,3444,0.0
1235,466,57,5,5,3,1,0.03,0.0,31,0.0
1235,480,3352,22,12,54,23,0.0,0.48,1501,0.0
1235,501,1850134,120,80,82,41,0.49000000000000005,0.81,834,0.0
1235,502,61591,11,8,3,1,0.04,0.0,50,0.0
1235,529,5447,12,11,13,9,0.03,0.48,1469,0.0
1235,547,17761208,245,187,68,31,0.6900000000000001,0.69,1596,0.0
1235,548,6,34,23,6,2,0.29000000000000004,0.0,20,0.0
1235,574,2928,35,30,23,8,0.01,0.43000000000000005,2656,0.0
1235,588,571106,166,129,42,16,1.3599999999999999,0.21000000000000002,370,0.0
1235,613,6533,23,18,13,4,0.02,0.33,1674,0.0
1235,638,1965,160,152,31,13,1.27,0.24,100,0.0
1235,670,4292,29,20,19,3,0.02,0.4,1482,0.0
1235,690,1384562,166,108,33,12,1.17,0.24,93,0.0
1235,717,5232,30,27,11,1,0.01,0.36,1216,0.0
1235,730,117,262,192,26,10,1.27,0.0,119,0.0
1235,766,12,66,59,3,3,0.49,0.0,37,0.0
1235,781,6286,33,31,41,5,0.0,0.54,2095,0.0
1236,391,342483,39,32,86,22,0.28,2.9599999999999995,1387,0.0
