Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Nota
843.25,9.25,5.75,4.75,2.5,0.01,0.1225,187,2.5
68,3,3,1,0,0.02,0.04,81,0
94157.357143,3.071429,2.571429,5.285714,2.071429,0.022143,0.105714,82.5,0
77781.75,13.916667,6.666667,5.5,2.166667,0.019167,0.126667,189.083333,0
3717.714286,10.285714,6.714286,12.714286,1.714286,0.008571,0.135714,243.142857,0
770,10,7,10,2,0.005,0.105,318.5,0
221744.111111,14.555556,8.555556,14.333333,3.888889,0.028889,0.117778,374.777778,0
3082,15.5,11,12.5,1.5,0.005,0.155,649.5,0
2206.5,17,14.5,25.5,6,0.01,0.195,983,0
1741,12.5,5.5,15.5,0.5,0.005,0.11,607.5,0
2161,11.5,8.5,16.5,1,0.005,0.375,870.5,0
1611.5,9.5,6,5,0,0.015,0.235,413,0
1088.5,14.5,13,12,2,0.015,0.41,343.5,6.65
18708,3.5,2.714286,5.214286,1.571429,0.028571,0.155,111.214286,0
28731.333333,16.166667,6.583333,13.916667,1.666667,0.0175,0.238333,437.166667,0
82200.428571,11.428571,6.714286,4.285714,1.142857,0.04,0.162857,158.714286,0
1193.5,15,8.5,17,2.5,0,0.22,700,0
97299.777778,16.333333,9,38,9,0.003333,0.198889,1131.333333,0
105663,17.166667,12.5,26.166667,3,0.006667,0.206667,822,0
2786,19.5,9,32.5,3,0,0.27,1371,0
2609,18,15,54,10,0.005,0.21,1350.5,0
141373.166667,15.166667,10,15.916667,1.416667,0.024167,0.2625,618.833333,0
416,2,1,0,0,0,0.17,59,0
1772,7.5,6,16.5,2,0,0.135,301,0
188629.909091,15.272727,13.727273,11.636364,1.818182,0.047273,0.181818,325.454545,0
1489,17,15,26,1.5,0.01,0.27,878,0
111291.4,16.4,11.7,18.8,2,0.005,0.467,437,0
3230.5,17,11.5,14.5,0,0,0.21,637,0
12061.4,22.8,15.2,10.4,1.9,0.031,0.22,356.2,0
22691.333333,13,11,39.333333,2.333333,0.003333,0.23,726.666667,0
1292.5,15,13,17,3,0.005,0.275,498.5,0
292.357143,4.428571,3.428571,5.571429,1.928571,0,0.209286,206.357143,0
7720,18.833333,6.75,8.416667,2.083333,0,0.188333,607.166667,0
