Aluno,Lab,Duracao,Qntd_Linhas,Qntd_Linhas_Filtrado,Testes,Submissoes,PP_Paste,PP_Delete,Linhas_Log,Corretos,Incorretos,Branco,Nota
1085,437,843.25,9.25,5.75,4.75,2.5,0.01,0.125,186.25,3,0,9,2.5
1085,457,68.0,3.0,3.0,1.0,0.0,0.02,0.04,81.0,0,0,7,0.0
1098,407,94156.71428571428,3.071428571428572,2.571428571428572,5.285714285714286,2.071428571428572,0.022142857142857148,0.10571428571428572,82.5,14,0,0,10.0
1098,455,77779.16666666669,13.916666666666664,6.666666666666668,5.5,2.1666666666666665,0.01916666666666667,0.12666666666666668,188.75,12,0,0,10.0
1098,456,3706.714285714286,10.285714285714286,6.7142857142857135,12.714285714285715,1.7142857142857142,0.008571428571428572,0.13571428571428573,242.42857142857144,7,0,0,10.0
1098,474,769.5,10.0,7.0,10.0,2.0,0.005,0.105,318.5,2,0,0,10.0
1098,493,221749.0,14.555555555555555,8.555555555555555,14.333333333333336,3.888888888888889,0.028888888888888888,0.1177777777777778,374.77777777777777,9,0,0,10.0
1098,494,15.666666666666664,15.833333333333336,12.5,3.1666666666666665,1.5,0.15833333333333335,0.04,16.333333333333332,6,0,0,10.0
1098,523,3081.5,15.5,11.0,12.5,1.5,0.005,0.155,650.0,2,0,0,10.0
1098,533,21.166666666666668,21.5,17.0,3.0,1.1666666666666667,0.1416666666666667,0.04166666666666666,11.166666666666664,6,0,0,10.0
1098,534,100991.55555555556,24.33333333333333,18.666666666666668,10.222222222222221,2.333333333333333,0.16666666666666666,0.08555555555555555,148.11111111111111,9,0,0,10.0
1098,569,2206.0,17.0,14.5,25.5,6.0,0.01,0.195,983.0,2,0,0,10.0
1098,587,89191.75,15.5,10.166666666666666,9.416666666666666,2.1666666666666665,0.10833333333333334,0.16333333333333333,215.16666666666663,12,0,0,10.0
1098,621,1741.0,12.5,5.5,15.5,0.5,0.005,0.11,615.5,0,1,1,0.0
1098,630,68417.36363636362,15.363636363636365,13.727272727272727,4.636363636363637,1.3636363636363635,0.1527272727272727,0.0609090909090909,50.27272727272727,11,0,0,10.0
1098,659,523.0,15.0,11.2,8.4,1.8,0.06599999999999999,0.174,200.0,5,0,0,10.0
